jenis_MAKANAN,jenis_NONMAKANAN,jenis_TOTAL,daerah_PERDESAAN,daerah_PERDESAANPERKOTAAN,daerah_PERKOTAAN,upah,peng,ump,gk,Cluster
False,True,False,False,False,True,0.2189155629139073,0.19488030361138695,0.4905749275811718,0.10433322576496878,2
False,True,False,False,False,True,0.2189155629139073,0.19488030361138695,0.4905749275811718,0.10660550636796631,2
False,True,False,True,False,False,0.2600993377483443,0.04723751861709713,0.43810702088799836,0.0556872526635302,7
False,True,False,True,False,False,0.2600993377483443,0.04723751861709713,0.43810702088799836,0.05852123423779725,7
False,True,False,True,False,False,0.2189155629139073,0.06607021013323436,0.4905749275811718,0.06340548501605034,7
False,True,False,True,False,False,0.2189155629139073,0.06607021013323436,0.4905749275811718,0.06820117387010757,7
False,True,False,False,True,False,0.2600993377483443,0.08419673956580609,0.43810702088799836,0.06785905794376196,4
False,True,False,False,True,False,0.2600993377483443,0.08419673956580609,0.43810702088799836,0.07159079053042527,4
False,True,False,False,True,False,0.2189155629139073,0.10646532037581954,0.4905749275811718,0.07615597574616453,4
False,True,False,False,True,False,0.2189155629139073,0.10646532037581954,0.4905749275811718,0.08039602951417113,4
False,True,False,False,False,True,0.2706953642384106,0.19766196076394907,0.5474527618319065,0.10799216772900536,2
False,True,False,False,False,True,0.2706953642384106,0.19766196076394907,0.5474527618319065,0.11127259845538298,2
False,True,False,False,False,True,0.39627483443708605,0.22491751865114953,0.6125709431683376,0.11508682708102325,2
False,True,False,False,False,True,0.39627483443708605,0.22491751865114953,0.6125709431683376,0.11600520210316373,2
False,True,False,True,False,False,0.2706953642384106,0.06763108798762535,0.5474527618319065,0.07082770216988846,7
False,True,False,True,False,False,0.2706953642384106,0.06763108798762535,0.5474527618319065,0.0748372522995771,7
False,True,False,True,False,False,0.39627483443708605,0.08625691104528588,0.6125709431683376,0.08214300445721245,7
False,True,False,True,False,False,0.39627483443708605,0.08625691104528588,0.6125709431683376,0.08284300761147279,7
False,True,False,False,True,False,0.2706953642384106,0.1098637520064325,0.5474527618319065,0.08283694172625389,4
False,True,False,False,True,False,0.2706953642384106,0.1098637520064325,0.5474527618319065,0.08670818967295174,4
